Date,Open,High,Low,Close,Adj Close,Volume
2015-09-01,1970.089966,1975.010010,1903.069946,1921.219971,1921.219971,14802260000
2015-09-08,1927.300049,1988.630005,1927.300049,1953.030029,1953.030029,17045880000
2015-09-15,1955.099976,2020.859985,1953.449951,1966.969971,1966.969971,20344920000
2015-09-22,1961.390015,1961.390015,1879.209961,1881.770020,1881.770020,19138850000
2015-09-29,1881.900024,1989.170044,1871.910034,1987.050049,1987.050049,21354120000
2015-10-06,1986.630005,2020.130005,1971.989990,2017.459961,2017.459961,19408160000
2015-10-13,2015.000000,2034.449951,1990.729980,2033.660034,2033.660034,17675550000
2015-10-20,2033.130005,2079.739990,2017.219971,2071.179932,2071.179932,18884400000
2015-10-27,2068.750000,2106.199951,2058.840088,2104.050049,2104.050049,20940150000
2015-11-03,2102.629883,2116.479980,2068.239990,2078.580078,2078.580078,20654190000
2015-11-10,2077.189941,2086.939941,2019.390015,2053.189941,2053.189941,19550210000
2015-11-17,2053.669922,2097.060059,2045.900024,2086.590088,2086.590088,19499430000
2015-11-24,2084.419922,2094.120117,2070.290039,2080.409912,2080.409912,12479740000
2015-12-01,2082.929932,2104.270020,2042.349976,2077.070068,2077.070068,20227980000
2015-12-08,2073.389893,2080.330078,1993.260010,2021.939941,2021.939941,21187470000
2015-12-15,2025.550049,2076.719971,2005.329956,2021.150024,2021.150024,23759730000
2015-12-22,2023.150024,2067.360107,2020.489990,2056.500000,2056.500000,10909320000
2015-12-29,2060.540039,2081.560059,1989.680054,2012.660034,2012.660034,11869640000
2016-01-05,2013.780029,2021.939941,1901.099976,1923.670044,1923.670044,22392100000
2016-01-12,1927.829956,1950.329956,1857.829956,1880.329956,1880.329956,20683860000
2016-01-19,1888.660034,1908.849976,1812.290039,1877.079956,1877.079956,25726370000
2016-01-26,1878.790039,1947.199951,1872.699951,1939.380005,1939.380005,23625090000
2016-02-02,1935.260010,1935.260010,1828.459961,1853.439941,1853.439941,25395860000
